Date,Open,High,Low,Close
09/2022,"3,936.73","4,119.28","3,837.08","3,873.33"
08/2022,"4,112.38","4,325.28","3,954.53","3,955.00"
07/2022,"3,781.08","4,140.15","3,721.56","4,130.29"
06/2022,"4,149.78","4,177.51","3,636.87","3,785.38"
05/2022,"4,130.61","4,307.66","3,810.32","4,132.15"
04/2022,"4,540.32","4,593.45","4,124.28","4,131.93"
03/2022,"4,363.14","4,637.30","4,157.87","4,530.41"
02/2022,"4,519.57","4,595.31","4,114.65","4,373.94"
01/2022,"4,778.14","4,818.62","4,222.62","4,515.55"
12/2021,"4,602.82","4,808.93","4,495.12","4,766.18"
11/2021,"4,610.62","4,743.83","4,560.00","4,567.00"
10/2021,"4,317.16","4,608.08","4,278.94","4,605.38"
09/2021,"4,469.74","4,471.52","4,305.91","4,307.54"
